# Reference "Optical absorption of pure water in the blue and
# ultraviolet". PhD thesis by Zheng Lu, 2006, Texas A&M University. 
#
# Table V-1, absorption coefficients of pure water
#
# Column 1: Wavelength	(nm)
# Column 2: Absorption coefficient (m-1)       
#
300	0.0504	
302	0.0502	
304     0.0501	
306	0.0467	
308	0.0442
310	0.0415	
312	0.0388	
314	0.0359	
316	0.0355	
318	0.0354	
320	0.0348	
322     0.0335	
324	0.0325	
326	0.0312
328	0.0282	
330	0.0256	
332	0.0241	
334	0.0223	
336	0.0208	
338	0.0196	
340     0.0181	
342	0.0170 
344	0.0161 
346	0.0155 
348	0.0151 
350	0.0150 
352	0.0148 
354     0.0147 
356	0.0145 
358	0.0143
360	0.0141 
362	0.0141 
364	0.0140 
366	0.0140 
368	0.0140 
370	0.0138 
372     0.0135 
374	0.0136 
376	0.0127
378	0.0121 
380	0.0115 
382	0.0107
384	0.0103	
386	0.00985	
388     0.00913	
390	0.00854	
392     0.00830	
394	0.00776	
396     0.00721	
398	0.00715	
400     0.00691	
402	0.00641	
404     0.00623	
406	0.00596	
408     0.00551	
410	0.00524	
412     0.00502	
414	0.00479	
416     0.00483	
418	0.00471	
420     0.00474	
422	0.00495	
424     0.00496	
426	0.00511	
428     0.00530	
430	0.00543	
432     0.00553	
434	0.00585 
436	0.00601 
438	0.00614 
440	0.00645 
442	0.00679 
444	0.00725 
446	0.00773 
448	0.00828 
450	0.00880 
452	0.00922 
454	0.00949 
456	0.00971 
458	0.00989 
460	0.0100 
462	0.0100 
464	0.0103 
466	0.0105 
468	0.0107 
470	0.0110 
472	0.0115 
474	0.0117 
476	0.0120 
478	0.0124 
480	0.0129 
482	0.0130
484	0.0134	
486	0.0138	
488     0.0144	
490	0.0150	
492	0.0160
494	0.0172	
496	0.0185	
498	0.0199	
500	0.0215	
502	0.0233	
504	0.0253	
506     0.0277	
508	0.0306	
510	0.0338
512	0.0368	
514	0.0393	
516	0.0411	
518	0.0422	
520	0.0427	
522	0.0430	
524     0.0435	
526	0.0442	
528	0.0448
530	0.0456	
532	0.0465	
534	0.0474 
536	0.0484 
538	0.0496 
540	0.0508 
542	0.0522 
544	0.0539 
546     0.0557 
548	0.0577 
550	0.0597
552	0.0613 
554	0.0626 
556	0.0638 
558	0.0647 
560	0.0657 
562	0.0667 
564     0.0681 
566	0.0696 
568	0.0714
570	0.0737 
572	0.0766 
574	0.0801 
576	0.0844 
578	0.0897 
580	0.0964 
582     0.1041
584     0.1131 
586     0.1234 
588     0.1346 
590     0.1471
592	0.1616
594	0.1789 
596	0.2004
598	0.2239 
600	0.2481
