#
# Table 1 from Vasilkov et al., "Assessment of the ultraviolet
# radiation field in ocean wasters from space-based measurements and
# full radiative-transfer calculations, Applied Optics, 44, 2862-2869,
# 2005.
#
# Column 1: Wavelength (nm)
# Column 2: A
# Column 3: B
#
300.0 0.1023  0.0983 
302.0 0.1022  0.0989 
304.0 0.1016  0.0994 
306.0 0.1007  0.100  
308.0 0.0997  0.101  
310.0 0.0986  0.103  
312.0 0.0977  0.105  
314.0 0.0970  0.108  
316.0 0.0965  0.112  
318.0 0.0961  0.116  
320.0 0.0958  0.120  
322.0 0.0955  0.124  
324.0 0.0951  0.128  
326.0 0.0944  0.132  
328.0 0.0935  0.135  
330.0 0.0924  0.137  
332.0 0.0911  0.140  
334.0 0.0896  0.142  
336.0 0.0880  0.143  
338.0 0.0861  0.145  
340.0 0.0841  0.147  
342.0 0.0818  0.149  
344.0 0.0793  0.150  
346.0 0.0766  0.151  
348.0 0.0738  0.152  
350.0 0.0709  0.153
352.0 0.0681  0.154
354.0 0.0656  0.155
356.0 0.0634  0.156
358.0 0.0617  0.158
360.0 0.0604  0.160
362.0 0.0595  0.162
364.0 0.0590  0.164
366.0 0.0586  0.167
368.0 0.0583  0.169
370.0 0.0580  0.172
372.0 0.0577  0.174
374.0 0.0572  0.176
376.0 0.0567  0.178
378.0 0.0561  0.180
380.0 0.0556  0.182
382.0 0.0551  0.184
384.0 0.0546  0.186
386.0 0.0541  0.188
388.0 0.0537  0.189
390.0 0.0532  0.191
392.0 0.0527  0.192
394.0 0.0523  0.193
396.0 0.0520  0.194
398.0 0.0519  0.196
400.0 0.0520  0.198
