# Albedo data of beet
# From Uwe Feister and Rolf Grewe, Spectral albedo measurements in the 
# UV and visible region over different types of surfaces, Photochemistry 
# and Photobiology, 62, 736-744, 1995. 
#
# WL   BEET
290  0.018
300  0.019
310  0.019
320  0.020
330  0.021
340  0.021
350  0.022
360  0.022
370  0.023
380  0.024
390  0.025
400  0.027
410  0.028
420  0.030
430  0.031
440  0.032
450  0.034
460  0.035
470  0.035
480  0.036
490  0.036
500  0.038
510  0.042
520  0.050
530  0.060
540  0.067
550  0.070
560  0.070
570  0.064
580  0.059
590  0.056
600  0.056
610  0.054
620  0.051
630  0.050
640  0.050
650  0.047
660  0.045
670  0.043
680  0.043
690  0.047
700  0.072
710  0.116
720  0.180
730  0.267
740  0.350
750  0.402
760  0.424
770  0.437
780  0.444
790  0.449
800  0.453
