# Albedo data of dry concrete
# From Uwe Feister and Rolf Grewe, Spectral albedo measurements in the 
# UV and visible region over different types of surfaces, Photochemistry 
# and Photobiology, 62, 736-744, 1995. 
#
# WL   CDRY 
290  0.095
300  0.096
310  0.098
320  0.105
330  0.110
340  0.118
350  0.123
360  0.131
370  0.136
380  0.141
390  0.150
400  0.161
410  0.172
420  0.179
430  0.184
440  0.191
450  0.197
460  0.201
470  0.205
480  0.208
490  0.212
500  0.215
510  0.220
520  0.225
530  0.227
540  0.233
550  0.236
560  0.240
570  0.241
580  0.243
590  0.245
600  0.247
610  0.248
620  0.248
630  0.249
640  0.249
650  0.249
660  0.249
670  0.249
680  0.250
690  0.251
700  0.252
710  0.254
720  0.255
730  0.256
740  0.260
750  0.262
760  0.263
770  0.264
780  0.266
790  0.266
800  0.266
