# Albedo data of wet concrete
# From Uwe Feister and Rolf Grewe, Spectral albedo measurements in the 
# UV and visible region over different types of surfaces, Photochemistry 
# and Photobiology, 62, 736-744, 1995. 
#
# WL   CWET 
290  0.072
300  0.077
310  0.078
320  0.083
330  0.087
340  0.092
350  0.097
360  0.101
370  0.105
380  0.110
390  0.117
400  0.127
410  0.137
420  0.144
430  0.150
440  0.154
450  0.158
460  0.161
470  0.165
480  0.167
490  0.171
500  0.174
510  0.179
520  0.182
530  0.186
540  0.189
550  0.194
560  0.200
570  0.204
580  0.205
590  0.207
600  0.209
610  0.210
620  0.211
630  0.212
640  0.213
650  0.214
660  0.215
670  0.216
680  0.217
690  0.218
700  0.219
710  0.220
720  0.221
730  0.224
740  0.229
750  0.230
760  0.231
770  0.232
780  0.233
790  0.234
800  0.235
