# Albedo data of gras
# From Uwe Feister and Rolf Grewe, Spectral albedo measurements in the 
# UV and visible region over different types of surfaces, Photochemistry 
# and Photobiology, 62, 736-744, 1995. 
#
# WL   GRAS 
290  0.016
300  0.016
310  0.017
320  0.017
330  0.017
340  0.018
350  0.018
360  0.018
370  0.019
380  0.019
390  0.020
400  0.022
410  0.024
420  0.027
430  0.029
440  0.030
450  0.031
460  0.032
470  0.032
480  0.032
490  0.033
500  0.035
510  0.040
520  0.055
530  0.073
540  0.084
550  0.089
560  0.089
570  0.079
580  0.069
590  0.063
600  0.061
610  0.057
620  0.052
630  0.051
640  0.048
650  0.042
660  0.039
670  0.035
680  0.035
690  0.043
700  0.087
710  0.156
720  0.234
730  0.334
740  0.437
750  0.513
760  0.553
770  0.571
780  0.579
790  0.581
800  0.587
