# Albedo data of lawn
# From Uwe Feister and Rolf Grewe, Spectral albedo measurements in the 
# UV and visible region over different types of surfaces, Photochemistry 
# and Photobiology, 62, 736-744, 1995. 
#
# WL   LAWN   
290  0.021  
300  0.023  
310  0.024  
320  0.026  
330  0.027  
340  0.029  
350  0.031  
360  0.032  
370  0.033  
380  0.035  
390  0.037  
400  0.039  
410  0.041  
420  0.045  
430  0.048  
440  0.049  
450  0.052  
460  0.054  
470  0.055  
480  0.057  
490  0.059  
500  0.061  
510  0.065  
520  0.071  
530  0.078  
540  0.083  
550  0.086  
560  0.089  
570  0.088  
580  0.088  
590  0.088  
600  0.090  
610  0.091  
620  0.091  
630  0.091  
640  0.091  
650  0.091  
660  0.091  
670  0.091  
680  0.091  
690  0.100  
700  0.124  
710  0.153  
720  0.182  
730  0.207  
740  0.224  
750  0.235  
760  0.240  
770  0.246  
780  0.251  
790  0.255
800  0.258  
