# Albedo data of loam
# From Uwe Feister and Rolf Grewe, Spectral albedo measurements in the 
# UV and visible region over different types of surfaces, Photochemistry 
# and Photobiology, 62, 736-744, 1995. 
#
# WL   LOAM   
290  0.039  
300  0.041  
310  0.044  
320  0.048  
330  0.052  
340  0.055  
350  0.058  
360  0.062  
370  0.066  
380  0.070  
390  0.075  
400  0.080  
410  0.085  
420  0.091  
430  0.097  
440  0.103  
450  0.108  
460  0.113  
470  0.116  
480  0.120  
490  0.124  
500  0.130  
510  0.135  
520  0.141  
530  0.147  
540  0.153  
550  0.158  
560  0.164  
570  0.169  
580  0.174  
590  0.178  
600  0.182  
610  0.186  
620  0.189  
630  0.193  
640  0.197  
650  0.200  
660  0.204  
670  0.208  
680  0.211  
690  0.214  
700  0.221  
710  0.226  
720  0.232  
730  0.239  
740  0.246  
750  0.252  
760  0.260  
770  0.261  
780  0.265  
790  0.268  
800  0.269
