# Albedo data of oat
# From Uwe Feister and Rolf Grewe, Spectral albedo measurements in the 
# UV and visible region over different types of surfaces, Photochemistry 
# and Photobiology, 62, 736-744, 1995. 
#
# WL   OAT  
290  0.017
300  0.017
310  0.017
320  0.018
330  0.018
340  0.018
350  0.018
360  0.018
370  0.019
380  0.019
390  0.019
400  0.020
410  0.022
420  0.024
430  0.026
440  0.028
450  0.030
460  0.031
470  0.032
480  0.033
490  0.034
500  0.037
510  0.042
520  0.051
530  0.061
540  0.067
550  0.071
560  0.073
570  0.069
580  0.065
590  0.063
600  0.063
610  0.061
620  0.059
630  0.058
640  0.057
650  0.053
660  0.051
670  0.047
680  0.047
690  0.057
700  0.091
710  0.136
720  0.184
730  0.239
740  0.287
750  0.319
760  0.336
770  0.345
780  0.352
790  0.358
800  0.363
