# Albedo data of oat
# From Uwe Feister and Rolf Grewe, Spectral albedo measurements in the 
# UV and visible region over different types of surfaces, Photochemistry 
# and Photobiology, 62, 736-744, 1995. 
#
# WL   RYE  
290  0.015
300  0.016
310  0.018
320  0.018
330  0.019
340  0.019
350  0.019
360  0.020
370  0.020
380  0.020
390  0.021
400  0.023
410  0.026
420  0.030
430  0.033
440  0.037
450  0.039
460  0.041
470  0.043
480  0.045
490  0.046
500  0.048
510  0.054
520  0.062
530  0.071
540  0.077
550  0.082
560  0.083
570  0.081
580  0.079
590  0.079
600  0.079
610  0.079
620  0.078
630  0.078
640  0.077
650  0.075
660  0.074
670  0.071
680  0.072
690  0.080
700  0.109
710  0.145
720  0.184
730  0.227
740  0.267
750  0.293
760  0.305
770  0.315
780  0.322
790  0.326
800  0.331
