# Albedo data of sand
# From Uwe Feister and Rolf Grewe, Spectral albedo measurements in the 
# UV and visible region over different types of surfaces, Photochemistry 
# and Photobiology, 62, 736-744, 1995. 
#
# WL   SAND 
290  0.126
300  0.138
310  0.148
320  0.160
330  0.171
340  0.182
350  0.193
360  0.200
370  0.209
380  0.221
390  0.229
400  0.239
410  0.246
420  0.254
430  0.261
440  0.271
450  0.277
460  0.282
470  0.286
480  0.289
490  0.294
500  0.299
510  0.304
520  0.309
530  0.314
540  0.319
550  0.324
560  0.329
570  0.333
580  0.337
590  0.340
600  0.343
610  0.345
620  0.346
630  0.348
640  0.349
650  0.350
660  0.352
670  0.354
680  0.355
690  0.355
700  0.357
710  0.359
720  0.360
730  0.362
740  0.366
750  0.370
760  0.373
770  0.374
780  0.377
790  0.379
800  0.381
