# Albedo data of snow 2 cm
# From Uwe Feister and Rolf Grewe, Spectral albedo measurements in the 
# UV and visible region over different types of surfaces, Photochemistry 
# and Photobiology, 62, 736-744, 1995. 
#
# WL   SNO2 
290  0.615
300  0.623
310  0.629
320  0.632
330  0.640
340  0.645
350  0.656
360  0.661
370  0.665
380  0.669
390  0.670
400  0.672
410  0.673
420  0.677
430  0.678
440  0.678
450  0.679
460  0.679
470  0.679
480  0.680
490  0.680
500  0.680
510  0.681
520  0.682
530  0.683
540  0.685
550  0.687
560  0.689
570  0.690
580  0.691
590  0.693
600  0.693
610  0.693
620  0.693
630  0.694
640  0.695
650  0.696
660  0.698
670  0.700
680  0.701
690  0.703
700  0.711
710  0.716
720  0.719
730  0.723
740  0.730
750  0.733
760  0.736
770  0.737
780  0.739
790  0.742
800  0.745
