# Albedo data of stub
# From Uwe Feister and Rolf Grewe, Spectral albedo measurements in the 
# UV and visible region over different types of surfaces, Photochemistry 
# and Photobiology, 62, 736-744, 1995. 
#
# WL   STUB 
290  0.019
300  0.019
310  0.019
320  0.020
330  0.021
340  0.021
350  0.022
360  0.023
370  0.024
380  0.025
390  0.026
400  0.029
410  0.032
420  0.035
430  0.039
440  0.041
450  0.043
460  0.046
470  0.047
480  0.049
490  0.051
500  0.054
510  0.059
520  0.068
530  0.075
540  0.078
550  0.081
560  0.087
570  0.088
580  0.085
590  0.084
600  0.085
610  0.085
620  0.084
630  0.085
640  0.085
650  0.083
660  0.082
670  0.079
680  0.080
690  0.089
700  0.120
710  0.154
720  0.184
730  0.215
740  0.240
750  0.255
760  0.264
770  0.268
780  0.271
790  0.275
800  0.277
