# Wavelength bands for the Kato et al. [1999] correlated k-technique
#
# Columns:
#  1  band number
#  2  center wavelength [nm]
#  2  start wavelength  [nm]
#  3  end wavelength    [nm]
 
 1   256.300  240.1185  272.4815
 2   277.948  272.4815  283.4140
 3   295.127  283.4140  306.8408
 4   317.306  306.8408  327.7722
 5   345.136  327.7722  362.5000
 6   385.000  362.5000  407.5000
 7   429.773  407.5000  452.0458
 8   484.863  452.0458  517.6806
 9   528.840  517.6806  540.0000
10   544.800  540.0000  549.5000
11   558.050  549.5000  566.6000
12   585.800  566.6000  605.0000
13   615.000  605.0000  625.0000
14   645.850  625.0000  666.7000
15   675.439  666.7000  684.1772
16   694.313  684.1772  704.4486
17   723.531  704.4486  742.6139
18   767.046  742.6139  791.4788
19   817.968  791.4788  844.4581
20   866.714  844.4581  888.9693
21   931.938  888.9693  974.9063
22  1010.320  974.9063 1045.7440
23  1119.970 1045.7440 1194.1880
24  1355.060 1194.1880 1515.9400
25  1564.700 1515.9400 1613.4510
26  1789.120 1613.4510 1964.7980
27  2059.130 1964.7980 2153.4640
28  2214.330 2153.4640 2275.1900
29  2638.540 2275.1900 3001.8930
30  3318.660 3001.8930 3635.4170
31  3813.210 3635.4170 3991.0030
32  4298.320 3991.0030 4605.6540
