# Source: K. Bogumil, J. Orphal, and J. P. Burrows
# University of Bremen - Institute of Environmental Physics
# P. O. Box 33 04 40
# D-28334 Bremen, Germany
# e-mail: Konstanze.Bogumil@iup.physik.uni-bremen.de
# SIGMA = (C0 + C1*(T-T0) + C2*(T-T0)^2) * 1.E-20 cm^2
# where T0 = 273.15 and T is in Kelvin
#
# wavelength
# (air nm)         C0          C1(T-T0)         C2((T-T0)^2)
   241.1      1.15647e+00      6.60718e-02      2.16815e-03
   241.2      1.11084e+00      5.92487e-02      1.84964e-03
   241.3      9.97601e-01      5.78403e-02      1.76845e-03
   241.4      7.90989e-01      6.37034e-02      2.03325e-03
   241.5      8.44898e-01      5.94423e-02      1.92235e-03
   241.6      8.98153e-01      5.90516e-02      1.98470e-03
   241.7      1.12695e+00      5.84652e-02      1.96967e-03
   241.8      1.63140e+00      5.65128e-02      1.92547e-03
   241.9      2.56415e+00      5.72371e-02      2.08186e-03
   242.0      4.58852e+00      4.63159e-02      1.89663e-03
   242.1      7.49578e+00      3.59788e-02      1.88354e-03
   242.2      1.06202e+01      2.87642e-02      2.01749e-03
   242.3      1.30018e+01      2.19897e-02      1.97644e-03
   242.4      1.38469e+01      2.14255e-02      1.77716e-03
   242.5      1.30797e+01      2.90820e-02      1.74100e-03
   242.6      1.16667e+01      2.86333e-02      1.34853e-03
   242.7      1.00065e+01      2.96331e-02      9.76760e-04
   242.8      8.26692e+00      3.87218e-02      1.11407e-03
   242.9      6.82201e+00      4.91278e-02      1.46726e-03
   243.0      5.99968e+00      5.08018e-02      1.51148e-03
   243.1      5.69609e+00      4.71068e-02      1.35982e-03
   243.2      5.63989e+00      4.06609e-02      1.18501e-03
   243.3      5.43121e+00      3.93796e-02      1.16996e-03
   243.4      4.90570e+00      4.35266e-02      1.32693e-03
   243.5      4.43754e+00      3.98333e-02      1.07960e-03
   243.6      3.80688e+00      4.12165e-02      1.09323e-03
   243.7      3.15866e+00      4.31087e-02      1.24036e-03
   243.8      2.75735e+00      3.93521e-02      1.01934e-03
   243.9      2.18948e+00      4.73092e-02      1.30022e-03
   244.0      1.86832e+00      4.68328e-02      1.31835e-03
   244.1      1.69848e+00      4.25115e-02      1.14670e-03
   244.2      1.59088e+00      3.82621e-02      9.66530e-04
   244.3      1.58996e+00      3.21333e-02      7.27408e-04
   244.4      1.44642e+00      3.50533e-02      9.04157e-04
