# Source: K. Bogumil, J. Orphal, and J. P. Burrows
# University of Bremen - Institute of Environmental Physics
# P. O. Box 33 04 40
# D-28334 Bremen, Germany
# e-mail: Konstanze.Bogumil@iup.physik.uni-bremen.de
# SIGMA = (C0 + C1*(T-T0) + C2*(T-T0)^2) * 1.E-20 cm^2
# where T0 = 273.15 and T is in Kelvin
#
# wavelength
# (air nm)         C0          C1(T-T0)         C2((T-T0)^2)
   239.0      4.42290e+00      1.98961e-05     -2.36691e-04
   239.1      4.41290e+00      3.58368e-04     -2.46688e-04
   239.2      4.34591e+00      1.05389e-03     -2.48125e-04
   239.3      4.34098e+00      1.16937e-03     -2.44978e-04
   239.4      4.41460e+00      1.22303e-03     -2.30856e-04
   239.5      4.58545e+00      5.82266e-04     -2.24094e-04
   239.6      4.81484e+00     -1.01163e-03     -2.32858e-04
   239.7      4.92802e+00     -1.06724e-03     -2.16582e-04
   239.8      4.96928e+00     -5.16559e-04     -2.09947e-04
   239.9      5.00253e+00     -8.24322e-04     -2.12570e-04
   240.0      5.15211e+00     -1.83204e-03     -2.12546e-04
   240.1      5.49470e+00     -2.30128e-03     -2.13615e-04
   240.2      5.72140e+00     -2.80344e-03     -2.09087e-04
   240.3      5.72796e+00     -2.06623e-03     -2.12339e-04
   240.4      5.53477e+00     -1.58205e-04     -2.17907e-04
   240.5      5.25214e+00      1.44804e-03     -2.13115e-04
   240.6      5.05363e+00      2.01925e-03     -2.06226e-04
   240.7      4.92152e+00      2.50221e-03     -1.96658e-04
   240.8      4.83916e+00      2.77165e-03     -1.84891e-04
   240.9      4.86295e+00      2.60676e-03     -1.75563e-04
   241.0      5.03066e+00      2.18701e-03     -1.73180e-04
   241.1      5.19006e+00      1.36969e-03     -1.74385e-04
   241.2      5.22250e+00      1.29938e-03     -1.74572e-04
   241.3      5.17777e+00      1.79218e-03     -1.77102e-04
   241.4      5.16335e+00      2.21134e-03     -1.76994e-04
   241.5      5.20871e+00      2.64471e-03     -1.61046e-04
   241.6      5.29099e+00      2.32969e-03     -1.54934e-04
   241.7      5.38264e+00      1.50409e-03     -1.60580e-04
   241.8      5.43363e+00      1.23413e-03     -1.65391e-04
   241.9      5.41383e+00      1.88422e-03     -1.63754e-04
   242.0      5.36706e+00      2.14235e-03     -1.65275e-04
   242.1      5.29936e+00      2.46576e-03     -1.64788e-04
   242.2      5.22848e+00      2.72271e-03     -1.63060e-04
   242.3      5.21029e+00      2.64816e-03     -1.58679e-04
   242.4      5.31401e+00      2.33337e-03     -1.48864e-04
   242.5      5.52731e+00      1.72663e-03     -1.45680e-04
   242.6      5.64787e+00      1.41216e-03     -1.44928e-04
   242.7      5.64319e+00      1.46753e-03     -1.46116e-04
   242.8      5.59822e+00      1.48776e-03     -1.49684e-04
   242.9      5.52997e+00      1.41912e-03     -1.49951e-04
   243.0      5.37752e+00      2.20239e-03     -1.45458e-04
   243.1      5.16481e+00      2.95378e-03     -1.38551e-04
   243.2      5.00140e+00      3.22386e-03     -1.35816e-04
   243.3      5.00469e+00      2.99194e-03     -1.37321e-04
   243.4      5.20899e+00      1.72164e-03     -1.31128e-04
   243.5      5.54531e+00      3.71351e-04     -1.22687e-04
   243.6      5.88534e+00     -5.61797e-04     -1.24632e-04
   243.7      6.11805e+00     -9.29841e-04     -1.27314e-04
   243.8      6.23031e+00     -7.05778e-04     -1.18702e-04
   243.9      6.31874e+00     -9.23100e-05     -1.23361e-04
   244.0      6.36294e+00      7.46488e-04     -1.32065e-04
   244.1      6.40050e+00      1.48404e-03     -1.33010e-04
   244.2      6.43388e+00      2.09812e-03     -1.27561e-04
   244.3      6.41839e+00      2.78495e-03     -1.22059e-04
   244.4      6.41992e+00      3.14118e-03     -1.12431e-04
   244.5      6.50595e+00      2.66864e-03     -1.15518e-04
   244.6      6.59957e+00      2.42039e-03     -1.14245e-04
   244.7      6.69807e+00      2.68893e-03     -1.03231e-04
   244.8      6.92408e+00      2.09765e-03     -1.07812e-04
   244.9      7.17514e+00      8.87254e-04     -1.15343e-04
   245.0      7.24239e+00      1.13609e-03     -1.17530e-04
   245.1      7.12762e+00      2.59041e-03     -1.12487e-04
   245.2      7.17670e+00      2.78305e-03     -1.02480e-04
   245.3      7.77923e+00      1.04233e-04     -9.24424e-05
   245.4      8.60192e+00     -2.88274e-03     -8.78127e-05
   245.5      8.96362e+00     -3.30818e-03     -9.69581e-05
   245.6      8.68806e+00     -8.63895e-04     -1.12386e-04
   245.7      8.01594e+00      2.80907e-03     -1.19582e-04
   245.8      7.22108e+00      6.02072e-03     -1.15725e-04
   245.9      6.60909e+00      7.99257e-03     -1.11684e-04
   246.0      6.35096e+00      7.76922e-03     -1.09316e-04
   246.1      6.40511e+00      6.31017e-03     -9.90957e-05
   246.2      6.73505e+00      4.56132e-03     -8.23064e-05
   246.3      7.35737e+00      1.99157e-03     -7.72829e-05
   246.4      7.86388e+00      4.48370e-04     -7.97052e-05
   246.5      7.93894e+00      1.07010e-03     -9.50807e-05
   246.6      7.71496e+00      3.02107e-03     -1.05313e-04
   246.7      7.54196e+00      4.41168e-03     -9.81287e-05
   246.8      7.60738e+00      4.05536e-03     -9.27583e-05
   246.9      7.89405e+00      2.59032e-03     -8.31456e-05
   247.0      8.25408e+00      1.29952e-03     -7.95643e-05
   247.1      8.41506e+00      9.58537e-04     -8.55637e-05
   247.2      8.24310e+00      1.96159e-03     -9.15522e-05
   247.3      7.94587e+00      4.01760e-03     -8.97085e-05
   247.4      7.81851e+00      4.85296e-03     -8.89668e-05
   247.5      7.89116e+00      4.70077e-03     -8.18445e-05
   247.6      8.16847e+00      3.67320e-03     -7.63291e-05
   247.7      8.62474e+00      1.95667e-03     -7.79567e-05
   247.8      9.10362e+00      7.48966e-04     -7.41653e-05
   247.9      9.39037e+00      7.93549e-04     -6.98239e-05
   248.0      9.39961e+00      1.48000e-03     -7.57912e-05
   248.1      9.17487e+00      2.54618e-03     -8.76149e-05
   248.2      8.92631e+00      3.52671e-03     -9.27665e-05
   248.3      8.90105e+00      3.49207e-03     -8.52783e-05
   248.4      9.05254e+00      2.65491e-03     -7.15297e-05
   248.5      9.19569e+00      2.07411e-03     -6.95997e-05
   248.6      9.13521e+00      2.45713e-03     -7.85657e-05
   248.7      8.89510e+00      3.35596e-03     -8.69830e-05
   248.8      8.69234e+00      3.76869e-03     -8.76153e-05
   248.9      8.63906e+00      3.54055e-03     -8.01867e-05
   249.0      8.80959e+00      2.34095e-03     -7.27084e-05
   249.1      9.25817e+00      8.27189e-04     -6.90782e-05
   249.2      9.61764e+00      3.03708e-04     -7.29962e-05
   249.3      9.49728e+00      1.68780e-03     -8.19575e-05
   249.4      9.36298e+00      3.70917e-03     -7.97362e-05
   249.5      1.00493e+01      1.27829e-03     -6.60329e-05
   249.6      1.13989e+01     -4.15818e-03     -6.43788e-05
   249.7      1.24354e+01     -6.91549e-03     -8.18209e-05
   249.8      1.24251e+01     -3.93569e-03     -1.03373e-04
   249.9      1.16746e+01      1.62273e-03     -1.14144e-04
   250.0      1.09214e+01      5.73779e-03     -1.09160e-04
   250.1      1.05676e+01      7.14970e-03     -8.96004e-05
   250.2      1.08358e+01      5.37399e-03     -6.87675e-05
   250.3      1.15548e+01      1.59106e-03     -5.96726e-05
   250.4      1.20633e+01     -7.32058e-04     -6.64006e-05
   250.5      1.18247e+01      9.96601e-04     -8.77859e-05
   250.6      1.11958e+01      5.14252e-03     -9.22012e-05
   250.7      1.07457e+01      8.01954e-03     -8.32715e-05
   250.8      1.06488e+01      8.23468e-03     -7.60899e-05
   250.9      1.08022e+01      6.99946e-03     -6.89035e-05
   251.0      1.13801e+01      4.35300e-03     -5.57812e-05
   251.1      1.26517e+01     -1.50967e-03     -5.18669e-05
   251.2      1.39862e+01     -6.47844e-03     -5.42103e-05
   251.3      1.45234e+01     -6.73627e-03     -7.40667e-05
   251.4      1.40789e+01     -2.59120e-03     -1.08019e-04
   251.5      1.33023e+01      2.57643e-03     -1.16085e-04
   251.6      1.27424e+01      5.24523e-03     -1.01119e-04
   251.7      1.25326e+01      5.05391e-03     -9.88734e-05
   251.8      1.24932e+01      3.92513e-03     -9.70773e-05
   251.9      1.23681e+01      3.61577e-03     -8.87413e-05
   252.0      1.21281e+01      4.34784e-03     -8.92053e-05
   252.1      1.20952e+01      4.99172e-03     -8.31803e-05
   252.2      1.24104e+01      3.53273e-03     -9.09157e-05
   252.3      1.29816e+01      1.47096e-03     -9.20796e-05
   252.4      1.34280e+01      6.29824e-04     -8.98433e-05
   252.5      1.34535e+01      1.14452e-03     -1.00873e-04
   252.6      1.31924e+01      2.22294e-03     -1.09097e-04
   252.7      1.28851e+01      3.45325e-03     -1.03423e-04
   252.8      1.24958e+01      4.48672e-03     -1.05136e-04
   252.9      1.22881e+01      4.96216e-03     -1.01535e-04
   253.0      1.25863e+01      3.78346e-03     -8.77812e-05
   253.1      1.32731e+01      1.01868e-03     -8.21874e-05
   253.2      1.38063e+01     -4.50815e-04     -8.51265e-05
   253.3      1.41298e+01     -1.09136e-03     -9.71873e-05
   253.4      1.44799e+01     -2.31660e-03     -9.69294e-05
   253.5      1.49357e+01     -4.25437e-03     -9.85078e-05
   253.6      1.54552e+01     -5.19539e-03     -9.89816e-05
   253.7      1.60089e+01     -4.80498e-03     -8.01415e-05
   253.8      1.64300e+01     -6.39685e-03     -1.06549e-04
   253.9      1.63973e+01     -3.84826e-03     -1.20826e-04
