# Substanz :BrO                                     Temperatur : 298.
# Zitat    :Cox etal, J.Photochem.19, 189(1982)
# Got the data from E.-P. Roth, FZ, Juelich, Germany
# lambda sigma
296.87  5.665E-18
297.14  2.876E-18
297.80  3.255E-18
298.43  2.747E-18
298.82  6.043E-18
299.11  4.014E-18
299.74  3.506E-18
300.05  2.364E-18
300.71  3.377E-18
301.06  4.771E-18
301.37  3.630E-18
302.31  2.361E-18
302.64  2.614E-18
303.28  2.232E-18
304.03  7.429E-18
304.63  5.146E-18
305.55  2.229E-18
307.27  7.804E-18
307.56  6.029E-18
307.85  4.127E-18
308.21  5.774E-18
308.49  3.492E-18
309.12  2.477E-18
310.55  1.008E-17
310.83  7.545E-18
311.10  4.755E-18
311.75  4.501E-18
312.68  2.218E-18
313.03  3.865E-18
313.79  1.008E-17
314.68  5.257E-18
314.99  4.876E-18
315.30  4.242E-18
315.94  3.480E-18
316.24  2.212E-18
317.40  1.248E-17
317.69  1.045E-17
317.94  6.519E-18
318.58  6.392E-18
318.87  4.236E-18
319.82  3.347E-18
321.63  1.349E-17
322.46  5.752E-18
322.77  4.991E-18
323.41  4.482E-18
323.59  3.468E-18
324.05  4.101E-18
324.07  5.369E-18
324.73  6.002E-18
325.85  1.424E-17
326.45  1.145E-17
326.70  7.393E-18
326.78  6.379E-18
327.30  4.857E-18
327.93  3.968E-18
328.59  4.601E-18
328.98  8.150E-18
330.07  1.474E-17
330.68  1.233E-17
330.91  7.259E-18
331.21  6.118E-18
331.51  4.723E-18
332.78  3.200E-18
334.27  1.397E-17
334.89  1.232E-17
335.05  9.154E-18
335.12  7.253E-18
335.42  6.238E-18
336.04  4.843E-18
336.35  4.082E-18
337.31  3.193E-18
337.98  4.206E-18
338.00  5.473E-18
338.34  1.865E-17
338.61  1.181E-17
338.98  8.640E-18
339.17  6.738E-18
339.54  5.470E-18
340.63  3.566E-18
341.86  4.200E-18
343.18  5.592E-18
343.91  9.901E-18
344.27  1.193E-17
344.57  1.066E-17
345.15  6.730E-18
345.44  4.955E-18
346.38  3.052E-18
347.68  3.557E-18
348.04  5.711E-18
349.08  9.132E-18
349.70  7.863E-18
350.31  5.581E-18
350.93  3.932E-18
351.56  2.917E-18
352.84  2.154E-18
353.50  3.040E-18
354.16  3.800E-18
354.89  7.855E-18
355.47  4.685E-18
356.10  3.290E-18
356.73  2.401E-18
357.37  1.893E-18
357.71  3.160E-18
358.35  2.399E-18
358.69  3.412E-18
359.67  3.664E-18
360.35  5.565E-18
360.64  3.663E-18
360.99  5.057E-18
361.61  3.915E-18
362.23  2.139E-18
362.90  3.406E-18
363.52  2.137E-18
364.20  3.530E-18
364.82  2.135E-18
365.81  2.894E-18
366.44  2.386E-18
366.78  3.146E-18
368.06  2.257E-18
368.72  2.763E-18
369.36  2.381E-18
369.69  2.888E-18
370.32  1.999E-18
