# Substanz :NO2                                     Temperatur : 298.
# Zitat    :Schneider+Moortgat, MPI Mainz, 1986
# Got the data from E.-P. Roth, FZ, Juelich, Germany
# lambda sigma
200.20  4.127E-19
200.40  4.131E-19
200.60  4.203E-19
200.80  4.342E-19
201.00  4.558E-19
201.20  4.571E-19
201.40  4.476E-19
201.60  4.402E-19
201.80  4.398E-19
202.00  4.338E-19
202.20  4.206E-19
202.40  4.050E-19
202.60  4.004E-19
202.80  3.957E-19
203.00  3.953E-19
203.20  4.048E-19
203.40  4.136E-19
203.60  4.217E-19
203.80  4.331E-19
204.00  4.494E-19
204.20  4.622E-19
204.40  4.611E-19
204.60  4.587E-19
204.80  4.647E-19
205.00  4.615E-19
205.20  4.507E-19
205.40  4.407E-19
205.60  4.371E-19
205.80  4.273E-19
206.00  4.238E-19
206.20  4.225E-19
206.40  4.204E-19
206.60  4.126E-19
206.80  4.131E-19
207.00  4.202E-19
207.20  4.338E-19
207.40  4.435E-19
207.60  4.498E-19
207.80  4.682E-19
208.00  4.894E-19
208.20  5.059E-19
208.40  5.082E-19
208.60  5.027E-19
208.80  4.939E-19
209.00  4.885E-19
209.20  4.793E-19
209.40  4.638E-19
209.60  4.493E-19
209.80  4.448E-19
210.00  4.399E-19
210.20  4.299E-19
210.40  4.206E-19
210.60  4.222E-19
210.80  4.323E-19
211.00  4.377E-19
211.20  4.500E-19
211.40  4.705E-19
211.60  4.890E-19
211.80  5.023E-19
212.00  5.142E-19
212.20  5.225E-19
212.40  5.314E-19
212.60  5.467E-19
212.80  5.546E-19
213.00  5.381E-19
213.20  5.200E-19
213.40  5.054E-19
213.60  4.961E-19
213.80  4.845E-19
214.00  4.682E-19
214.20  4.557E-19
214.40  4.495E-19
214.60  4.457E-19
214.80  4.412E-19
215.00  4.365E-19
215.20  4.368E-19
215.40  4.451E-19
215.60  4.635E-19
215.80  4.877E-19
216.00  5.040E-19
216.20  5.190E-19
216.40  5.259E-19
216.60  5.317E-19
216.80  5.416E-19
217.00  5.434E-19
217.20  5.317E-19
217.40  5.179E-19
217.60  5.072E-19
217.80  4.895E-19
218.00  4.694E-19
218.20  4.523E-19
218.40  4.467E-19
