# NO2 cross section from Davidson et al., JGR, 93, 7105-7112, 1988.
#
# Cross section calculated as sigma(T) = sigma0 + a*T
# and are in units of 10e-19 cm^2
#
# wavelength  avg.       a
# range       sigma0  
267.5 272.5  0.411     0.048
272.5 277.5  0.490     0.061
277.5 282.5  0.592     0.068
282.5 287.5  0.739    -0.045
287.5 292.5  0.900    -0.060
292.5 297.5  1.091    -0.139
297.5 302.5  1.307    -0.216
302.5 307.5  1.573    -0.361
307.5 312.5  1.861    -0.531
312.5 317.5  2.153    -0.686
317.5 322.5  2.477    -0.786
322.5 327.5  2.807    -1.105
327.5 332.5  3.133    -1.355
332.5 337.5  3.425    -1.277
337.5 342.5  3.798    -1.612
342.5 347.5  4.065    -1.890
347.5 352.5  4.313    -1.219
352.5 357.5  4.717    -1.921
357.5 362.5  4.833    -1.095
362.5 367.5  5.166    -1.322
367.5 372.5  5.315    -1.102
372.5 377.5  5.508    -0.806
377.5 382.5  5.644    -0.867
382.5 387.5  5.757    -0.945
387.5 392.5  5.927    -0.923
392.5 397.5  5.845    -0.738
397.5 402.5  6.021    -0.599
402.5 407.5  5.781    -0.545
407.5 412.5  5.999    -1.129
412.5 417.5  5.651     0.001
417.5 422.5  5.812    -1.208
422.5 450.0    0         0
450.0 1000.0   0         0
# Two last lines added by Arve just to make things work for Calc_J.pl
