# Reference      : Molina and Molina, JGR, vol. 91, pp 14501-14508, 1986 
# Comments       : Table 1 in Molina and Molina (1986), got this from
# Comments       : Tapani Koskela, FMI, Finland, thanks.
#lambda	226K	263K	298K
#
T	226.0	263.0	298.0
185	64.37	0.0	65.37
185.5	63.17	0.0	63.83
186	62.59	0.0	61.87
186.5	61.72	0.0	61.3
187	59.33	0.0	59.41
187.5	59.07	0.0	58.97
188	56.55	0.0	56.59
188.5	56.06	0.0	56.05
189	54.63	0.0	54.24
189.5	52.63	0.0	53.19
190	51.63	0.0	51.14
190.5	49.89	0.0	49.91
191	48.42	0.0	48.8
191.5	47.12	0.0	47.35
192	45.95	0.0	46.06
192.5	44.55	0.0	44.93
193	43.12	0.0	43.36
193.5	42.24	0.0	42.09
194	40.88	0.0	40.66
194.5	39.79	0.0	40.08
195	38.27	0.0	38.64
195.5	37.16	0.0	37.72
196	36.42	0.0	36.73
196.5	35.51	0.0	35.59
197	34.63	0.0	35
197.5	33.96	0.0	34.36
198	33.33	0.0	33.49
198.5	32.5	0.0	32.84
199	32.13	0.0	32.09
199.5	31.5	0.0	31.81
200	31.45	0.0	31.54
200.5	31.56	0.0	31.49
201	31.26	0.0	31.15
201.5	31.5	0.0	31.57
202	31.56	0.0	31.79
202.5	31.76	0.0	32.13
203	32.55	0.0	32.51
203.5	33.27	0.0	33.24
204	34	0.0	33.65
204.5	34.87	0.0	34.71
205	36.23	0.0	35.85
205.5	37.36	0.0	37.06
206	38.87	0.0	38.55
206.5	40.65	0.0	40.13
207	42.39	0.0	42
207.5	44.49	0.0	44.19
208	46.84	0.0	46.4
208.5	49.4	0.0	48.76
209	51.88	0.0	51.18
209.5	54.9	0.0	54.11
210	58.06	0.0	57.16
210.5	61.65	0.0	60.6
211	65.28	0.0	64.02
211.5	69.03	0.0	67.97
212	73.12	0.0	71.94
212.5	77.98	0.0	76.42
213	82.58	0.0	81.04
213.5	87.5	0.0	85.66
214	92.55	0.0	90.96
214.5	98.25	0.0	96.37
215	104.1	0.0	102.3
215.5	110.4	0.0	108.1
216	116.9	0.0	114.6
216.5	124.1	0.0	121.5
217	131.4	0.0	128.7
217.5	138.7	0.0	136.2
218	146.4	0.0	143.9
218.5	154.8	0.0	152
219	163.8	0.0	160.1
219.5	171.8	0.0	169.4
220	179.9	0.0	178.5
220.5	190	0.0	188.8
221	200	0.0	198.2
221.5	210.3	0.0	209
222	221.7	0.0	220
222.5	232.6	0.0	231.2
223	244.3	0.0	242.9
223.5	257.2	0.0	254.8
224	268.8	0.0	268.4
224.5	282.8	0.0	280.9
225	296.3	0.0	294.3
225.5	309.5	0.0	307.6
226	323.9	0.0	322.6
226.5	338.4	0.0	336.6
227	354.2	0.0	351.3
227.5	370.3	0.0	367.1
228	385.7	0.0	382.9
228.5	400.9	0.0	397.9
229	416.4	0.0	414.1
229.5	435.1	0.0	431.6
230	450.6	0.0	447.6
230.5	468.2	0.0	465.9
231	485.9	0.0	481.4
231.5	501.6	0.0	498.4
232	523	0.0	518.1
232.5	540.7	0.0	536.8
233	558.9	0.0	554.9
233.5	574.9	0.0	571.7
234	592.3	0.0	589.1
234.5	620.5	0.0	615.4
235	634.9	0.0	631.8
235.5	647.9	0.0	645.4
236	677.2	0.0	672.2
236.5	691.8	0.0	689.5
237	714.2	0.0	709.4
237.5	731.8	0.0	728.1
238	753.2	0.0	748.6
238.5	771.6	0.0	767.9
239	784.3	0.0	781.9
239.5	814.8	0.0	809.5
240	836.7	0.0	831.4
240.5	842.4	837.7	839.8
241	864	858.6	860.3
241.5	891.8	886	886.1
242	901.6	895.1	897.1
242.5	916.3	911.1	912.6
243	939.6	932	933.3
243.5	962.8	957.3	956
244	975.2	968.4	971.7
244.5	977.6	970.7	975.1
245	1007	994.8	993.2
245.5	1040	1028	1025
246	1042	1032	1033
246.5	1039	1035	1034
247	1058	1051	1047
247.5	1080	1069	1068
248	1079	1072	1071
248.5	1094	1082	1082
249	1124	1110	1112
249.5	1121	1110	1112
250	1134	1121	1124
250.5	1118	1110	1113
251	1123	1115	1114
251.5	1164	1153	1146
252	1165	1153	1155
252.5	1143	1137	1139
253	1149	1142	1140
253.5	1167	1155	1155
254	1169	1159	1159
254.5	1145	1136	1140
255	1174	1167	1161
255.5	1184	1176	1173
256	1158	1151	1154
256.5	1132	1125	1130
257	1147	1139	1139
257.5	1134	1126	1129
258	1130	1122	1124
258.5	1172	1164	1157
259	1151	1143	1145
259.5	1084	1083	1090
260	1086	1085	1080
260.5	1128	1120	1114
261	1095	1090	1094
261.5	1056	1054	1057
262	1064	1061	1057
262.5	1072	1067	1066
263	1016	1015	1022
263.5	994	994.7	995.9
264	1013	1010	1006
264.5	1013	1012	1007
265	961.2	960.5	965.7
265.5	968.3	965.6	965
266	946.7	943.4	948.5
266.5	920.6	920	922.1
267	877.9	878	884.1
267.5	900.5	895.1	893.8
268	872.2	871.1	875.4
268.5	829.3	830.1	836.3
269	803.8	803.7	810.4
269.5	820.8	822	815.1
270	796.1	798.2	798
270.5	754.4	755.5	763.6
271	736.7	736.5	741.5
271.5	724.8	726.6	726.6
272	710.7	711.4	714.7
272.5	684.2	687.6	689.9
273	666	675.4	669.8
273.5	640.1	642.1	646
274	601.3	609.9	614
274.5	592.7	597.5	596.8
275	587.1	586.1	591.3
275.5	562.9	561	560.6
276	537.9	539.5	545
276.5	519.6	523.2	522.1
277	504	508.9	509.6
277.5	492.3	490.3	490.6
278	461.7	465	466.8
278.5	445.7	452.1	451.6
279	424.5	429.8	432.6
279.5	412.9	413.8	415.8
280	398.3	395.2	400.1
280.5	371.8	374.7	372.7
281	364.2	367.7	367.3
281.5	333.7	337.6	340.4
282	322	323.9	325
282.5	310	311.1	312.2
283	299	301.1	302.5
283.5	293.5	293.3	296.3
284	264.4	267.4	271.2
284.5	252.4	257.7	259.8
285	239.8	244.5	246.5
285.5	225.4	227.6	232.2
286	219.5	220.5	223.8
286.5	205.3	209.4	210.3
287	197.8	201	203.4
287.5	184.2	185.8	191.2
288	168.7	172.6	175
288.5	162	164.1	167.3
289	153.5	155.2	158.5
289.5	142.9	147	151.2
290	136.5	139.6	141.8
290.5	129.9	131.9	135.8
291	122.5	124.9	128.5
291.5	111.8	114.5	119.4
292	104.3	107.4	111.1
292.5	99.69	102.8	105.6
293	93.75	96.59	100.2
293.5	86.37	88.31	92.15
294	81.48	84.47	87.11
294.5	78.24	79.43	81.93
295	72.7	74.92	77.53
295.5	65.98	68.53	71.55
296	62.02	64.66	67.27
296.5	58.65	60.1	62.74
297	54.69	56.96	59.55
297.5	50.02	52.31	55.2
298	47.14	48.75	51.24
298.5	44.49	45.97	48.4
299	42.31	43.42	45.51
299.5	38	39.59	41.87
300	36.16	37.4	39.64
300.5	33.96	35.4	37.23
301	31.28	32.27	34.63
301.5	28.95	30.18	32.23
302	27.96	28.91	30.73
302.5	26	26.78	28.69
303	23.25	24.52	26.5
303.5	21.98	23	24.58
304	21.56	22.26	24.01
304.5	19.84	20.81	21.88
305	17.71	18.62	20.15
305.5	16.31	17.32	18.79
306	16.03	16.78	18.08
306.5	15.49	16.12	17.11
307	13.67	14.49	15.65
307.5	12	13.06	14.21
308	12.02	12.67	13.64
308.5	11.18	11.73	12.9
309	10.64	11.45	12.43
309.5	9.425	9.715	10.97
310	8.637	9.303	10.2
310.5	8.314	8.803	9.705
311	7.925	8.48	9.26
311.5	7.831	8.243	8.99
312	6.697	7.2	7.947
312.5	6.074	6.575	7.209
313	5.691	6.199	6.883
313.5	6.169	6.407	7.032
314	5.334	5.67	6.294
314.5	4.294	4.776	5.4
315	4.186	4.585	5.199
315.5	4.837	5.028	5.529
316	3.896	4.226	4.792
316.5	3.351	3.75	4.251
317	3.351	3.74	4.146
317.5	3.42	3.662	4.098
318	3.063	3.322	3.757
318.5	2.34	2.651	3.127
319	1.999	2.35	2.765
319.5	2.712	2.88	3.213
320	2.859	3.022	3.243
320.5	1.963	2.223	2.561
321	1.368	1.67	2.041
321.5	1.361	1.615	1.922
322	2.117	2.242	2.435
322.5	1.793	1.975	2.2
323	1.529	1.76	1.983
323.5	0.8902	1.141	1.421
324	0.7852	0.9893	1.25
324.5	0.9488	1.104	1.321
325	1.486	1.593	1.727
325.5	1.241	1.359	1.513
326	0.7276	0.9125	1.105
326.5	0.4945	0.6579	0.855
327	0.6158	0.7214	0.8875
327.5	0.6491	0.7691	0.916
328	1.158	1.221	1.3
328.5	0.6374	0.7731	0.9452
329	0.346	0.4785	0.6504
329.5	0.2666	0.375	0.518
330	0.2854	0.377	0.4923
330.5	0.5695	0.6381	0.7302
331	0.713	0.7511	0.8328
331.5	0.4584	0.5535	0.6572
332	0.2415	0.3283	0.4347
332.5	0.1567	0.2295	0.3194
333	0.2187	0.2731	0.3528
333.5	0.3693	0.4033	0.4665
334	0.3788	0.4474	0.5343
334.5	0.2117	0.2788	0.355
335	0.1274	0.173	0.2434
335.5	0.0876	0.1347	0.1955
336	0.0871	0.1312	0.1875
336.5	0.1837	0.2216	0.2753
337	0.2464	0.2686	0.3236
337.5	0.259	0.2978	0.3299
338	0.1311	0.1641	0.2086
338.5	0.0695	0.1002	0.1413
339	0.0546	0.0836	0.1343
339.5	0.0713	0.1127	0.1662
340	0.1549	0.167	0.2082
340.5	0.1133	0.1434	0.1784
341	0.0594	0.0863	0.1134
341.5	0.0352	0.0537	0.0808
342	0.0285	0.0488	0.0776
342.5	0.0236	0.0414	0.0714
343	0.0372	0.064	0.0977
343.5	0.0441	0.0633	0.0936
344	0.1271	0.1336	0.1419
344.5	0.073	0.0865	0.0916
345	0.039	0.059	0.0644
345.5	0.0269	0.0439	0.0698
346	0.0195	0.0384	0.0641
346.5	0.0178	0.0271	0.0539
347	0.0283	0.0323	0.0467
347.5	0.0295	0.0429	0.0503
348	0.0181	0.0249	0.0386
348.5	0.0096	0.0217	0.0285
349	0.0083	0.0163	0.0271
349.5	0.01	0.0251	0.0405
350	0.0076	0.0193	0.0294
351.0   0.00000   0.00000  0.00000  
405.0   0.00000   0.00000  0.00000  
406.0   0.000582  0.000582 0.000582 
407.0   0.001160  0.001160 0.001160 
408.0   0.00175   0.00175  0.00175  
409.0   0.00233   0.00233  0.00233  
410.0   0.00291   0.00291  0.00291  
411.0   0.00296   0.00296  0.00296  
412.0   0.00300   0.00300  0.00300  
413.0   0.00305   0.00305  0.00305  
414.0   0.00309   0.00309  0.00309  
415.0   0.00314   0.00314  0.00314  
416.0   0.00331   0.00331  0.00331  
417.0   0.00348   0.00348  0.00348  
418.0   0.00365   0.00365  0.00365  
419.0   0.00382   0.00382  0.00382  
420.0   0.00399   0.00399  0.00399  
421.0   0.00450   0.00450  0.00450  
422.0   0.00501   0.00501  0.00501  
423.0   0.00552   0.00552  0.00552  
424.0   0.00603   0.00603  0.00603  
425.0   0.00654   0.00654  0.00654  
426.0   0.00660   0.00660  0.00660  
427.0   0.00666   0.00666  0.00666  
428.0   0.00671   0.00671  0.00671  
429.0   0.00677   0.00677  0.00677  
430.0   0.00683   0.00683  0.00683  
431.0   0.00720   0.00720  0.00720  
432.0   0.00756   0.00756  0.00756  
433.0   0.00793   0.00793  0.00793  
434.0   0.00829   0.00829  0.00829  
435.0   0.00866   0.00866  0.00866  
436.0   0.00943   0.00943  0.00943  
437.0   0.01020   0.01020  0.01020  
438.0   0.01100   0.01100  0.01100  
439.0   0.01170   0.01170  0.01170  
440.0   0.01250   0.01250  0.01250  
441.0   0.01300   0.01300  0.01300  
442.0   0.01350   0.01350  0.01350  
443.0   0.01390   0.01390  0.01390  
444.0   0.01440   0.01440  0.01440  
445.0   0.01490   0.01490  0.01490  
446.0   0.01530   0.01530  0.01530  
447.0   0.01580   0.01580  0.01580  
448.0   0.01620   0.01620  0.01620  
449.0   0.01670   0.01670  0.01670  
450.0   0.01710   0.01710  0.01710  
451.0   0.01790   0.01790  0.01790  
452.0   0.01870   0.01870  0.01870  
453.0   0.01960   0.01960  0.01960  
454.0   0.02040   0.02040  0.02040  
455.0   0.02120   0.02120  0.02120  
456.0   0.02410   0.02410  0.02410  
457.0   0.02700   0.02700  0.02700  
458.0   0.02990   0.02990  0.02990  
459.0   0.03280   0.03280  0.03280  
460.0   0.03570   0.03570  0.03570  
461.0   0.03590   0.03590  0.03590  
462.0   0.03610   0.03610  0.03610  
463.0   0.03640   0.03640  0.03640  
464.0   0.03660   0.03660  0.03660  
465.0   0.03680   0.03680  0.03680  
466.0   0.03760   0.03760  0.03760  
467.0   0.03830   0.03830  0.03830  
468.0   0.03910   0.03910  0.03910  
469.0   0.03980   0.03980  0.03980  
470.0   0.04060   0.04060  0.04060  
471.0   0.04230   0.04230  0.04230  
472.0   0.04390   0.04390  0.04390  
473.0   0.04560   0.04560  0.04560  
474.0   0.04720   0.04720  0.04720  
475.0   0.04890   0.04890  0.04890  
476.0   0.05330   0.05330  0.05330  
477.0   0.05780   0.05780  0.05780  
478.0   0.06220   0.06220  0.06220  
479.0   0.06670   0.06670  0.06670  
480.0   0.07110   0.07110  0.07110  
481.0   0.07370   0.07370  0.07370  
