#Temperature dependence of ozone cross-section
# Reference      : Daumont et al., J.Atmos.Chem.15, 145(1992)
# Source         : Roeth et al., Forschungszentrum Juelich JUE-3340 (1997)
# Comments       : 400-850nm wavelength data are taken from
# Comments       : WMO (1986), 'Atmospheric Ozone 1985', WMO Report No. 16.
# Orignal data temperatures  228K    243K    298K
# Below 195nm, temperature-independent data from 
#  M. Ackerman, "UV-solar radiation related to mesospheric processes,"
#  in: Mesospheric Models and Related Experiments, edited by G. Fiocco
#  (D. Reidel Publishing Company, Dordrecht, 1971), pp. 149-159. 
# are used.
#
#
# Ozone cross-section SIGMA = (C0 + C1*(T-TO) + C2*(T-TO)**2) * 1.E-20 cm^2
# where T0 = 273.13 and T is in Kelvin
#
# wavelength  
# (air nm)         C0               C1(T)            C2(T^2)
   116.650      7.80000e+02      0.00000e+00      0.00000e+00
   117.300      7.97000e+02      0.00000e+00      0.00000e+00
   117.950      8.66000e+02      0.00000e+00      0.00000e+00
   118.650      9.51000e+02      0.00000e+00      0.00000e+00
   119.400      1.25000e+03      0.00000e+00      0.00000e+00
   120.150      1.84000e+03      0.00000e+00      0.00000e+00
   120.850      2.19000e+03      0.00000e+00      0.00000e+00
   121.600      2.30000e+03      0.00000e+00      0.00000e+00
   122.350      2.26000e+03      0.00000e+00      0.00000e+00
   123.100      2.06000e+03      0.00000e+00      0.00000e+00
   123.850      1.30000e+03      0.00000e+00      0.00000e+00
   124.600      8.91000e+02      0.00000e+00      0.00000e+00
   125.400      7.24000e+02      0.00000e+00      0.00000e+00
   126.200      6.09000e+02      0.00000e+00      0.00000e+00
   127.000      5.66000e+02      0.00000e+00      0.00000e+00
   127.800      5.87000e+02      0.00000e+00      0.00000e+00
   128.600      6.47000e+02      0.00000e+00      0.00000e+00
   129.450      8.14000e+02      0.00000e+00      0.00000e+00
   130.300      1.24000e+03      0.00000e+00      0.00000e+00
   131.150      1.52000e+03      0.00000e+00      0.00000e+00
   132.000      1.47000e+03      0.00000e+00      0.00000e+00
   132.850      1.51000e+03      0.00000e+00      0.00000e+00
   133.750      1.51000e+03      0.00000e+00      0.00000e+00
   134.650      1.65000e+03      0.00000e+00      0.00000e+00
   135.550      1.54000e+03      0.00000e+00      0.00000e+00
   136.500      1.35000e+03      0.00000e+00      0.00000e+00
   137.450      1.05000e+03      0.00000e+00      0.00000e+00
   138.400      7.97000e+02      0.00000e+00      0.00000e+00
   139.850      7.17000e+02      0.00000e+00      0.00000e+00
   141.800      6.28000e+02      0.00000e+00      0.00000e+00
   143.850      5.66000e+02      0.00000e+00      0.00000e+00
   145.950      5.23000e+02      0.00000e+00      0.00000e+00
   148.100      4.47000e+02      0.00000e+00      0.00000e+00
   150.350      3.69000e+02      0.00000e+00      0.00000e+00
   152.650      2.93000e+02      0.00000e+00      0.00000e+00
   155.000      2.19000e+02      0.00000e+00      0.00000e+00
   157.450      1.63000e+02      0.00000e+00      0.00000e+00
   160.000      1.20000e+02      0.00000e+00      0.00000e+00
   162.600      9.77000e+01      0.00000e+00      0.00000e+00
   165.300      8.66000e+01      0.00000e+00      0.00000e+00
   168.100      8.14000e+01      0.00000e+00      0.00000e+00
   170.950      8.17000e+01      0.00000e+00      0.00000e+00
   173.150      8.57000e+01      0.00000e+00      0.00000e+00
   174.650      8.40000e+01      0.00000e+00      0.00000e+00
   176.200      8.11000e+01      0.00000e+00      0.00000e+00
   177.800      7.99000e+01      0.00000e+00      0.00000e+00
   179.400      7.86000e+01      0.00000e+00      0.00000e+00
   181.000      7.63000e+01      0.00000e+00      0.00000e+00
   182.650      7.29000e+01      0.00000e+00      0.00000e+00
   184.350      6.88000e+01      0.00000e+00      0.00000e+00
   186.050      6.40000e+01      0.00000e+00      0.00000e+00
   187.800      5.88000e+01      0.00000e+00      0.00000e+00
   189.600      5.31000e+01      0.00000e+00      0.00000e+00
   191.400      4.80000e+01      0.00000e+00      0.00000e+00
   193.250      4.38000e+01      0.00000e+00      0.00000e+00
   195.000      3.82401e+01      7.53305e-03      1.17772e-04
   195.010      3.82347e+01      9.78508e-03      1.65371e-04
   195.020      3.82368e+01      1.43404e-02      2.70137e-04
   195.030      3.81738e+01      1.14064e-02      2.31166e-04
   195.040      3.81109e+01      7.58960e-03      1.62775e-04
   195.050      3.81308e+01      1.22396e-02      2.51100e-04
   195.060      3.81459e+01      1.13999e-02      1.95649e-04
   195.070      3.80845e+01      1.15512e-02      2.24219e-04
   195.080      3.80473e+01      1.16021e-02      2.33768e-04
   195.090      3.80243e+01      1.24352e-02      2.53688e-04
   195.100      3.79972e+01      1.24851e-02      2.63190e-04
   195.110      3.80191e+01      1.33626e-02      2.57165e-04
   195.120      3.80748e+01      1.31100e-02      2.09525e-04
   195.130      3.80064e+01      1.24285e-02      2.18180e-04
   195.140      3.79872e+01      1.21317e-02      1.96512e-04
   195.150      3.79040e+01      1.00816e-02      1.87007e-04
   195.160      3.78656e+01      8.95923e-03      1.80996e-04
   195.170      3.78425e+01      1.06747e-02      2.30307e-04
   195.180      3.78248e+01      1.01383e-02      2.32030e-04
   195.190      3.77693e+01      9.06586e-03      2.35499e-04
   195.200      3.77942e+01      9.10979e-03      2.09509e-04
   195.210      3.77819e+01      1.00880e-02      2.22514e-04
   195.220      3.77569e+01      1.01316e-02      1.96507e-04
   195.230      3.77713e+01      8.70638e-03      1.33348e-04
   195.240      3.77064e+01      8.22057e-03      1.44598e-04
   195.250      3.76385e+01      9.00917e-03      1.90485e-04
   195.260      3.75659e+01      7.54587e-03      1.88784e-04
   195.270      3.75039e+01      7.11027e-03      2.09543e-04
   195.280      3.74591e+01      6.62397e-03      2.20765e-04
