# Reference      : Molina and Molina, JGR, vol. 91, pp 14501-14508, 1986 
# Comments       : Table 1 in Molina and Molina (1986), got this from
# Comments       : Tapani Koskela, FMI, Finland, thanks.
# Original data at temperatures 226K 263K 298K
# Below 185nm, temperature-independent data from 
#  M. Ackerman, "UV-solar radiation related to mesospheric processes,"
#  in: Mesospheric Models and Related Experiments, edited by G. Fiocco
#  (D. Reidel Publishing Company, Dordrecht, 1971), pp. 149-159. 
# are used.
#
# Ozone cross-section SIGMA = (C0 + C1*(T-TO) + C2*(T-TO)**2) * 1.E-20 cm^2
# where T0 = 273.13 and T is in Kelvin
#
# wavelength  
# (air nm)         C0               C1(T)            C2(T^2)
   116.650      7.80000e+02      0.00000e+00      0.00000e+00
   117.300      7.97000e+02      0.00000e+00      0.00000e+00
   117.950      8.66000e+02      0.00000e+00      0.00000e+00
   118.650      9.51000e+02      0.00000e+00      0.00000e+00
   119.400      1.25000e+03      0.00000e+00      0.00000e+00
   120.150      1.84000e+03      0.00000e+00      0.00000e+00
   120.850      2.19000e+03      0.00000e+00      0.00000e+00
   121.600      2.30000e+03      0.00000e+00      0.00000e+00
   122.350      2.26000e+03      0.00000e+00      0.00000e+00
   123.100      2.06000e+03      0.00000e+00      0.00000e+00
   123.850      1.30000e+03      0.00000e+00      0.00000e+00
   124.600      8.91000e+02      0.00000e+00      0.00000e+00
   125.400      7.24000e+02      0.00000e+00      0.00000e+00
   126.200      6.09000e+02      0.00000e+00      0.00000e+00
   127.000      5.66000e+02      0.00000e+00      0.00000e+00
   127.800      5.87000e+02      0.00000e+00      0.00000e+00
   128.600      6.47000e+02      0.00000e+00      0.00000e+00
   129.450      8.14000e+02      0.00000e+00      0.00000e+00
   130.300      1.24000e+03      0.00000e+00      0.00000e+00
   131.150      1.52000e+03      0.00000e+00      0.00000e+00
   132.000      1.47000e+03      0.00000e+00      0.00000e+00
   132.850      1.51000e+03      0.00000e+00      0.00000e+00
   133.750      1.51000e+03      0.00000e+00      0.00000e+00
   134.650      1.65000e+03      0.00000e+00      0.00000e+00
   135.550      1.54000e+03      0.00000e+00      0.00000e+00
   136.500      1.35000e+03      0.00000e+00      0.00000e+00
   137.450      1.05000e+03      0.00000e+00      0.00000e+00
   138.400      7.97000e+02      0.00000e+00      0.00000e+00
   139.850      7.17000e+02      0.00000e+00      0.00000e+00
   141.800      6.28000e+02      0.00000e+00      0.00000e+00
   143.850      5.66000e+02      0.00000e+00      0.00000e+00
   145.950      5.23000e+02      0.00000e+00      0.00000e+00
   148.100      4.47000e+02      0.00000e+00      0.00000e+00
   150.350      3.69000e+02      0.00000e+00      0.00000e+00
   152.650      2.93000e+02      0.00000e+00      0.00000e+00
   155.000      2.19000e+02      0.00000e+00      0.00000e+00
   157.450      1.63000e+02      0.00000e+00      0.00000e+00
   160.000      1.20000e+02      0.00000e+00      0.00000e+00
   162.600      9.77000e+01      0.00000e+00      0.00000e+00
   165.300      8.66000e+01      0.00000e+00      0.00000e+00
   168.100      8.14000e+01      0.00000e+00      0.00000e+00
   170.950      8.17000e+01      0.00000e+00      0.00000e+00
   173.150      8.57000e+01      0.00000e+00      0.00000e+00
   174.650      8.40000e+01      0.00000e+00      0.00000e+00
   176.200      8.11000e+01      0.00000e+00      0.00000e+00
   177.800      7.99000e+01      0.00000e+00      0.00000e+00
   179.400      7.86000e+01      0.00000e+00      0.00000e+00
   181.000      7.63000e+01      0.00000e+00      0.00000e+00
   182.650      7.29000e+01      0.00000e+00      0.00000e+00
   184.350      6.88000e+01      0.00000e+00      0.00000e+00
   185.000      6.50249e+01      1.38893e-02      0.00000e+00
   185.500      6.36022e+01      9.16711e-03      0.00000e+00
   186.000      6.21185e+01     -9.99962e-03      0.00000e+00
   186.500      6.14450e+01     -5.83295e-03      0.00000e+00
   187.000      5.93824e+01      1.11152e-03      0.00000e+00
   187.500      5.90045e+01     -1.38847e-03      0.00000e+00
   188.000      5.65762e+01      5.55977e-04      0.00000e+00
   188.500      5.60535e+01     -1.38577e-04      0.00000e+00
   189.000      5.43746e+01     -5.41628e-03      0.00000e+00
   189.500      5.29967e+01      7.77815e-03      0.00000e+00
   190.000      5.13091e+01     -6.80521e-03      0.00000e+00
   190.500      4.99031e+01      2.78106e-04      0.00000e+00
   191.000      4.86688e+01      5.27812e-03      0.00000e+00
   191.500      4.72706e+01      3.19471e-03      0.00000e+00
   192.000      4.60220e+01      1.52810e-03      0.00000e+00
   192.500      4.47988e+01      5.27805e-03      0.00000e+00
   193.000      4.32772e+01      3.33366e-03      0.00000e+00
   193.500      4.21418e+01     -2.08308e-03      0.00000e+00
   194.000      4.07359e+01     -3.05531e-03      0.00000e+00
   194.500      3.99799e+01      4.02807e-03      0.00000e+00
   195.000      3.85123e+01      5.13915e-03      0.00000e+00
   195.500      3.75267e+01      7.77808e-03      0.00000e+00
   196.000      3.66230e+01      4.30583e-03      0.00000e+00
   196.500      3.55624e+01      1.11136e-03      0.00000e+00
   197.000      3.48723e+01      5.13914e-03      0.00000e+00
   197.500      3.42219e+01      5.55582e-03      0.00000e+00
   198.000      3.34348e+01      2.22245e-03      0.00000e+00
   198.500      3.27227e+01      4.72245e-03      0.00000e+00
   199.000      3.21038e+01     -5.55338e-04      0.00000e+00
   199.500      3.17030e+01      4.30574e-03      0.00000e+00
   200.000      3.15089e+01      1.25023e-03      0.00000e+00
   200.500      3.15142e+01     -9.72032e-04      0.00000e+00
   201.000      3.11880e+01     -1.52757e-03      0.00000e+00
   201.500      3.15458e+01      9.72421e-04      0.00000e+00
   202.000      3.17106e+01      3.19464e-03      0.00000e+00
