# Reference: Paur and Bass, 1985 Quadrennial Ozone Symposium, Halkidiki, Greece
# Comments : Compiled from data supplied by Michiel van Weele, KNMI, The Netherlands
# SIGMA = (C0 + C1*(T-T0) + C2*(T-T0)**2) * 1.E-20 cm^2
# where T0 = 273.13 and T is in Kelvin
#
# wavelength  
# (air nm)         C0          C1(T)       C2(T^2)
   245.018      9.90790e+02     -2.03600e-01     -2.39450e-03
   245.068      9.94290e+02     -2.49790e-01     -2.45170e-03
   245.118      9.96070e+02     -2.07220e-01     -1.33620e-03
   245.168      1.00310e+03     -2.52820e-01     -1.67160e-03
   245.218      1.00790e+03     -3.35230e-01     -3.73620e-03
   245.268      1.00960e+03     -2.45260e-01     -1.67810e-03
   245.318      1.01160e+03     -3.14760e-01     -2.93910e-03
   245.368      1.01420e+03     -2.81480e-01     -2.50050e-03
   245.418      1.01720e+03     -2.31250e-01     -1.93300e-03
   245.468      1.01950e+03     -2.45610e-01     -2.33360e-03
   245.518      1.01970e+03     -1.72280e-01     -8.91880e-04
   245.568      1.02280e+03     -2.47310e-01     -2.70990e-03
   245.618      1.02480e+03     -2.01190e-01     -2.65180e-03
   245.668      1.02420e+03     -1.85820e-01     -1.55820e-03
   245.718      1.02860e+03     -2.63800e-01     -3.59300e-03
   245.768      1.02640e+03     -2.19050e-01     -2.19110e-03
   245.818      1.02520e+03     -1.57080e-01     -1.62440e-03
   245.868      1.02750e+03     -2.55330e-01     -3.78580e-03
   245.918      1.02450e+03     -2.20310e-01     -2.26660e-03
   245.968      1.02690e+03     -1.13650e-01     -1.23790e-03
   246.018      1.03150e+03     -2.94440e-01     -5.39590e-03
   246.068      1.02460e+03     -1.98470e-01     -2.40940e-03
   246.118      1.02640e+03     -1.63110e-01     -2.32140e-03
   246.168      1.02710e+03     -1.76780e-01     -2.85080e-03
   246.218      1.02890e+03     -2.17550e-01     -4.23950e-03
   246.268      1.02660e+03     -1.63790e-01     -3.11390e-03
   246.318      1.02370e+03     -1.11090e-01     -1.18130e-03
   246.368      1.02660e+03     -1.43720e-01     -2.88740e-03
   246.418      1.02480e+03     -1.34480e-01     -1.43420e-03
   246.468      1.02790e+03     -1.49610e-01     -2.43620e-03
   246.518      1.02450e+03     -9.69750e-02     -1.87100e-04
   246.568      1.02380e+03     -1.04070e-01     -5.88250e-04
   246.618      1.02800e+03     -1.72300e-01     -2.13880e-03
   246.668      1.03040e+03     -2.14240e-01     -3.47990e-03
   246.718      1.02920e+03     -1.51850e-01     -2.07860e-03
   246.768      1.03050e+03     -1.94920e-01     -2.30460e-03
   246.818      1.03100e+03     -1.04850e-01     -6.19330e-04
