#"Talukdar et al. O3 -> O(1D)"
#"Quantum yields"
#"Phi(lambda,T) =0.06 + A exp(-B/T)"
# line with 280 nm data added by aky 28.08.1998
# last line with 412-700 nm data added by aky 28.08.1998
#wavelength	A	B	Phi(298)
280	0.83	0	0.890
290	0.83	0	0.890
291	0.83	0	0.890
292	0.83	0	0.890
293	0.83	0	0.890
294	0.83	0	0.890
295	0.83	0	0.890
296	0.83	0	0.890
297	0.83	0	0.890
298	0.83	0	0.890
299	0.83	0	0.890
300	0.83	0	0.890
301	0.83	0	0.890
302	0.83	0	0.890
303	0.83	0	0.890
304	0.83	0	0.890
305	0.83	0	0.890
306	0.8037	9.842	0.838
307	0.781	1.439	0.837
308	0.8654	53.09	0.784
309	0.7605	73.91	0.653
310	1.31	305.5	0.530
311	2.373	600.1	0.377
312	5.777	925.9	0.318
313	11.39	1191	0.269
313.5	8.242	1141	0.239
314	20.11	1423	0.230
315	26.39	1514	0.224
315.5	35.47	1609	0.220
316	26.75	1512	0.227
317	26.82	1542	0.212
317.6	43.97	1711	0.201
318	28.33	1604	0.190
319	30.55	1604	0.200
319.5	30.6	1692	0.165
320	44.4	1866	0.145
321	50.18	1931	0.137
322	27.76	1882	0.110
322.7	37.75	2092	0.094
323	74.05	2329	0.090
324	867.6	3085	0.088
324.5	7438	3731	0.087
325	0.3656	688.6	0.096
325.5	0.1807	485	0.095
326	0.2393	619.3	0.090
327	0.06795	258	0.089
328	26.16	2131	0.081
329	0.1458	469.9	0.090
330	0	0	0.060
331-411			0.060
412-700			0.000
