# Synthetic/composite Extraterrestrial Spectrum by Chris Gueymard, May2003
# Reference: 
# @Article{gueymard2004,
#   author = 	 {Gueymard, C.},
#   title = 	 {{The sun's total and spectral irradiance for solar energy 
#                  applications and solar radiation models}},
#   journal = 	 {{Solar Energy}},
#   year = 	 2004,
#   volume =	 76,
#   number =	 4,	
#   pages =	 {423-453},
# }
# Source: http://rredc.nrel.gov/solar/spectra/am0/special.html
# BM, September 1, 2003
#
# 1st column: wavelength (nm) in vacuum below 280 nm, in air above 280 nm
# 2nd column: irradiance [mW / (m2 nm)]
# Number of wavelengths: 2460   
# Resolution: variable, approximately equal to spectral step
#
# from the publication:
# - the spectrum refers to air above 280nm, and to vacuum below:
#   "these vacuum wavelenths have been first converted to 
#    air wavelengths ..."
# - the tabulated data have been convoluted with a triangular
#   filter function: 
#   "In order to compare spectra of extremely different resolution
#    wavelength-by-wavelength, appropriate smoothing was performed
#    whenever possible. It consists in appyling a filter with a
#    triangular shape, and with a bandwidth (full width at half
#    maximum) equal to the desired target resolution, e.g., 0.5nm in
#    the interval 280-400nm"
#
# Total irradiance (solar constant) = 1366.1 W/m2 
# Wavelength (nm)       Irradiance mW / (m2 nm)
      0.5  2.27800e-03
      1.5  1.21900e-01
      2.5  1.51300e-02
      3.5  2.51900e-02
      4.5  3.70800e-02
      5.5  4.61000e-02
      6.5  4.36700e-02
      7.5  3.11500e-02
      8.5  2.82800e-02
      9.5  1.65200e-02
     10.5  6.77100e-03
     11.5  3.36200e-03
     12.5  1.75600e-03
     13.5  1.95800e-03
     14.5  2.14000e-02
     15.5  1.63600e-02
     16.5  3.39800e-02
     17.5  5.00800e-01
     18.5  2.87500e-01
     19.5  2.03800e-01
     20.5  1.95800e-01
     21.5  9.41000e-02
     22.5  1.02500e-01
     23.5  2.28700e-02
     24.5  4.76200e-02
     25.5  1.17300e-01
     26.5  4.02500e-02
     27.5  8.47500e-02
     28.5  8.55600e-02
     29.5  4.37500e-02
     30.5  6.25200e-01
     31.5  1.19000e-01
     32.5  1.59300e-01
     33.5  1.56600e-01
     34.5  6.93700e-02
     35.5  5.93300e-02
     36.5  8.03900e-02
     37.5  1.38300e-02
     38.5  5.93100e-03
     39.5  5.83200e-03
     40.5  9.78100e-03
     41.5  1.81000e-02
     42.5  4.79800e-03
     43.5  1.10100e-02
     44.5  4.38900e-03
     45.5  4.82400e-03
     46.5  1.73800e-02
     47.5  6.92500e-03
     48.5  1.15500e-02
     49.5  3.96500e-02
     50.5  1.68000e-02
     51.5  5.74300e-03
     52.5  9.80800e-03
     53.5  7.45800e-03
     54.5  4.84300e-03
     55.5  2.16500e-02
     56.5  6.57800e-03
     57.5  6.52800e-03
     58.5  3.68900e-02
     59.5  7.77600e-03
     60.5  3.11200e-02
     61.5  9.73700e-03
     62.5  4.20900e-02
     63.5  1.06000e-02
     64.5  2.44200e-03
     65.5  1.91600e-03
     66.5  1.70900e-03
     67.5  1.75000e-03
     68.5  6.02700e-03
     69.5  4.45200e-03
     70.5  1.17200e-02
     71.5  5.12000e-03
     72.5  3.83300e-03
     73.5  4.99500e-03
     74.5  6.15500e-03
     75.5  9.41200e-03
     76.5  2.37900e-02
     77.5  2.15600e-02
     78.5  3.04300e-02
     79.5  1.42900e-02
     80.5  1.46800e-02
     81.5  1.66800e-02
     82.5  2.46500e-02
     83.5  4.20900e-02
     84.5  3.06100e-02
     85.5  3.40900e-02
     86.5  3.61300e-02
     87.5  4.30100e-02
     88.5  4.91500e-02
     89.5  5.97800e-02
     90.5  7.04400e-02
     91.5  5.38900e-02
     92.5  1.92200e-02
     93.5  1.68500e-02
     94.5  1.20100e-02
     95.5  6.96400e-03
     96.5  7.24100e-03
     97.5  1.29600e-01
     98.5  1.47400e-02
     99.5  2.27400e-02
    100.5  9.21500e-03
    101.5  1.06500e-02
    102.5  9.71900e-02
    103.5  1.00400e-01
    104.5  1.47000e-02
    105.5  1.24400e-02
    106.5  1.18400e-02
    107.5  1.25700e-02
    108.5  2.10900e-02
    109.5  1.41900e-02
    110.5  1.51300e-02
    111.5  1.38800e-02
    112.5  1.51200e-02
    113.5  1.18100e-02
    114.5  7.99000e-03
    115.5  1.31300e-02
    116.5  1.48400e-02
    117.5  6.31100e-02
    118.5  1.67100e-02
    119.5  5.55600e-02
    120.5  1.68700e-01
    121.5  8.11900e+00
    122.5  5.96200e-02
    123.5  4.23000e-02
    124.5  3.21700e-02
    125.5  3.05000e-02
    126.5  4.49900e-02
    127.5  2.36100e-02
    128.5  1.93200e-02
    129.5  2.27300e-02
    130.5  1.81700e-01
    131.5  2.96400e-02
    132.5  2.27000e-02
    133.5  2.16300e-01
    134.5  2.02300e-02
    135.5  4.61600e-02
    136.5  2.99700e-02
    137.5  3.18800e-02
    138.5  3.15800e-02
    139.5  9.26700e-02
    140.5  7.69400e-02
    141.5  4.53200e-02
    142.5  4.89700e-02
    143.5  5.70800e-02
    144.5  5.55400e-02
    145.5  5.97200e-02
    146.5  7.42400e-02
    147.5  9.21700e-02
    148.5  9.39600e-02
    149.5  8.47300e-02
    150.5  9.44400e-02
    151.5  1.02100e-01
    152.5  1.28600e-01
    153.5  1.42900e-01
    154.5  2.54300e-01
    155.5  2.10100e-01
    156.5  2.11300e-01
    157.5  1.91000e-01
    158.5  1.83700e-01
    159.5  1.83600e-01
    160.5  2.06400e-01
    161.5  2.41900e-01
    162.5  2.77800e-01
    163.5  3.04700e-01
    164.5  3.39100e-01
    165.5  5.29500e-01
    166.5  3.69500e-01
    167.5  4.36200e-01
    168.5  4.85200e-01
    169.5  6.35700e-01
    170.5  7.35200e-01
    171.5  7.37700e-01
    172.5  7.96300e-01
    173.5  7.99300e-01
    174.5  9.81600e-01
    175.5  1.20900e+00
    176.5  1.31000e+00
    177.5  1.58000e+00
    178.5  1.76200e+00
    179.5  1.72300e+00
    180.5  2.06100e+00
    181.5  2.48100e+00
    182.5  2.31200e+00
    183.5  2.47100e+00
    184.5  2.11400e+00
    185.5  2.41700e+00
    186.5  2.76900e+00
    187.5  3.21100e+00
    188.5  3.40200e+00
    189.5  3.83400e+00
    190.5  3.96900e+00
    191.5  4.36000e+00
    192.5  4.66400e+00
    193.5  3.53200e+00
    194.5  5.90100e+00
    195.5  5.75400e+00
    196.5  6.51200e+00
    197.5  6.60300e+00
    198.5  6.65800e+00
    199.5  7.23100e+00
    200.5  7.93300e+00
    201.5  8.82600e+00
    202.5  8.76600e+00
    203.5  1.01000e+01
    204.5  1.11900e+01
    205.5  1.15900e+01
    206.5  1.19000e+01
    207.5  1.38800e+01
    208.5  1.56500e+01
    209.5  2.25000e+01
    210.5  3.01600e+01
    211.5  3.68200e+01
    212.5  3.34400e+01
    213.5  3.19000e+01
    214.5  4.48600e+01
    215.5  3.66300e+01
    216.5  3.43700e+01
    217.5  3.39400e+01
    218.5  4.91500e+01
    219.5  5.06100e+01
    220.5  5.19100e+01
    221.5  3.60200e+01
    222.5  5.26200e+01
    223.5  6.92300e+01
    224.5  6.17800e+01
